condominio,iptu,area,qtd_quartos,qtd_vagas,qtd_banheiros,aluguel
363,945,72,3,2,2,2600
230,230,48,2,1,1,1100
203,230,40,2,1,1,950
341,300,60,3,1,2,990
491,230,87,3,2,3,800
491,230,64,2,2,3,1700
700,190,50,2,1,1,1609
491,230,70,2,1,2,800
491,230,45,1,1,1,1400
250,230,100,3,1,3,1100
491,230,130,3,2,2,1200
440,150,49,2,1,2,950
656,150,58,2,1,1,1509
300,290,60,3,1,1,950
500,150,84,3,1,2,1400
256,196,62,2,1,2,850
710,285,60,3,2,2,1200
350,290,48,2,1,1,890
900,240,91,3,2,3,3500
355,150,61,2,1,2,1500
491,290,132,3,1,3,2100
655,143,68,2,2,2,3500
400,290,100,3,1,2,1300
250,550,52,2,1,2,1050
726,550,73,3,1,2,1500
600,550,66,2,1,2,2600
200,450,70,3,1,2,1000
900,282,92,3,2,3,3650
300,550,45,2,1,1,1600
382,550,49,2,1,1,1000
511,550,64,3,2,3,1800
491,230,48,2,1,1,950
650,550,63,2,1,2,2250
522,111,66,3,1,2,1800
135,550,30,1,1,1,2600
1100,1800,115,3,2,3,5900
150,150,30,1,1,1,850
491,550,68,3,1,2,1300
678,150,70,2,1,2,1700
250,550,52,2,1,2,750
471,609,64,3,2,2,1600
250,150,70,3,1,2,1100
600,150,62,2,1,2,2200
150,293,57,2,1,2,1300
360,550,77,3,2,2,1300
254,450,55,2,1,1,1000
630,1135,94,3,2,3,1700
520,150,93,3,2,3,1500
434,550,55,3,1,2,1400
842,150,72,2,2,2,2500
600,550,120,3,2,3,1100
491,550,63,2,1,2,3000
1079,2156,141,4,3,2,3950
710,100,70,2,2,2,2600
1186,1448,112,3,2,3,3500
278,550,48,2,1,1,1500
300,550,57,3,1,2,1100
550,550,82,2,1,1,1550
300,290,71,3,1,2,1200
320,150,54,3,2,2,1400
600,137,80,3,2,3,2600
471,150,65,2,2,2,2000
360,600,62,3,1,2,1100
763,179,111,3,2,3,4200
600,550,72,2,1,2,2600
510,550,115,3,1,3,1750
267,150,62,2,1,2,800
600,550,60,3,1,2,850
600,550,60,2,2,3,2300
320,550,48,2,1,2,1300
1000,150,130,3,2,3,3500
491,550,91,3,3,2,2600
600,190,70,2,1,3,3400
600,550,62,2,1,2,1390
600,550,65,2,1,2,2009
332,150,63,3,2,2,989
530,150,70,3,1,3,900
250,285,50,2,1,1,1300
650,100,85,3,2,3,2500
1000,312,65,2,1,2,4000
491,110,50,2,1,1,890
491,550,50,2,1,2,1709
200,100,50,2,1,1,1250
550,550,65,2,1,2,1700
150,550,46,2,1,1,900
669,150,70,3,1,2,2300
355,550,50,2,1,1,1700
400,550,70,3,1,2,900
491,550,65,4,2,3,1200
164,550,50,2,1,1,650
580,550,65,3,1,2,1020
480,550,37,1,1,1,2400
379,150,53,2,1,2,2500
429,150,62,3,2,2,1700
220,550,49,2,1,2,1000
369,190,65,2,1,1,700
520,150,70,2,2,2,2300
491,550,160,3,2,3,850
548,550,61,2,1,2,2000
475,443,59,2,1,2,1200
203,550,40,2,1,1,950
611,135,81,2,2,3,2600
255,550,48,2,1,1,900
317,150,62,2,1,1,800
491,550,62,3,1,1,1600
491,550,56,3,1,2,1280
180,510,100,3,1,2,1200
491,550,56,2,1,2,890
491,205,39,1,1,1,900
650,550,81,2,1,3,1000
594,671,68,2,2,2,2360
790,927,74,2,1,2,2500
100,190,50,2,2,1,1200
460,103,52,2,1,2,2500
491,550,80,3,1,2,750
473,150,55,2,2,2,1705
300,850,46,2,1,1,2500
565,127,87,3,2,2,2800
200,550,55,2,2,2,700
600,550,108,2,2,2,2000
180,365,120,3,1,2,900
547,550,106,3,2,3,3300
440,550,52,2,1,2,1100
610,550,64,3,1,3,1100
600,550,50,2,1,2,1709
460,550,70,2,1,2,3600
505,550,72,3,2,2,3000
650,150,65,2,2,1,2000
805,550,70,2,2,3,2500
639,177,68,3,2,2,2700
600,550,40,2,1,1,1409
600,550,48,2,1,1,850
391,108,62,3,2,2,1400
208,550,78,2,1,1,700
460,550,72,2,2,2,4500
150,150,30,1,1,1,850
790,984,35,1,1,1,1900
350,550,60,2,2,1,1300
312,550,60,3,1,2,1405
446,190,45,2,1,2,1000
350,550,71,3,2,2,3000
460,550,50,2,1,1,1800
631,150,68,2,2,3,1550
471,110,65,3,2,2,1800
415,150,55,2,1,2,2250
363,945,72,3,2,2,2600
1150,345,136,3,2,3,5000
460,550,85,3,2,3,900
600,550,90,3,1,2,1500
400,550,100,3,1,2,1300
300,550,75,3,1,2,1200
500,550,80,3,1,2,700
390,550,65,3,1,2,1600
280,463,48,2,1,1,1200
460,550,83,2,1,2,940
250,250,52,2,1,2,850
320,342,48,3,1,2,1000
634,150,70,3,2,2,2100
785,250,68,2,2,2,2600
460,550,60,2,1,1,1009
760,150,60,2,1,2,1300
460,321,56,2,1,2,1300
290,200,50,2,1,1,1100
400,550,90,3,2,3,2300
460,100,65,2,2,2,800
656,285,60,2,1,2,1409
400,550,78,3,2,2,600
250,550,55,2,1,1,1100
200,550,65,3,1,2,1005
370,550,44,2,1,1,1400
600,550,83,2,1,2,940
800,550,84,3,2,3,2800
180,550,60,3,1,2,950
547,550,106,3,2,3,3300
650,120,45,3,1,2,1700
602,550,59,2,2,2,2500
391,858,64,3,1,2,1500
230,550,70,1,1,2,1580
130,550,56,2,1,2,655
380,550,55,2,2,2,649
335,150,61,2,1,2,1600
472,619,65,3,2,2,1600
660,856,92,3,1,3,1400
230,550,60,3,2,1,1100
598,699,61,2,1,2,2280
320,550,48,2,1,1,850
612,1357,66,2,1,2,3600
610,550,60,2,2,2,1600
218,550,41,2,1,1,950
600,550,48,2,1,1,850
600,150,60,2,1,1,750
600,400,75,2,1,2,2800
1000,100,65,2,1,2,3000
400,150,65,3,1,3,1600
280,550,56,2,1,1,950
224,550,61,2,1,1,750
650,550,63,1,1,2,1800
608,550,59,2,2,3,2400
230,550,70,2,1,2,800
490,550,72,3,2,2,2800
230,550,55,2,1,2,700
560,550,95,3,1,2,1200
264,150,55,2,2,2,2700
230,550,55,2,1,2,3200
300,550,52,2,2,1,1500
820,1195,101,3,1,2,1300
655,143,68,2,2,2,3500
386,550,48,2,1,1,1500
350,550,55,2,1,1,1850
556,150,53,1,1,1,1800
230,150,57,2,1,2,890
300,150,62,2,1,2,950
588,1104,87,3,2,2,2600
290,550,43,2,2,2,1000
333,550,50,2,1,2,905
230,550,47,2,1,1,1000
310,150,49,2,1,2,1600
407,550,58,2,1,2,1300
500,550,100,3,1,2,1700
230,550,80,3,2,2,2010
230,550,62,3,1,2,1100
600,190,50,2,1,1,1609
230,550,48,2,1,1,900
230,100,50,2,1,1,750
580,550,66,3,2,2,1700
455,550,57,2,2,2,2100
